lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust
246.946,40.494,0,21,P084_PBO,-3.606,-0.916,0.328,0.328,1,0,1,0,0,0
246.722,40.671,0,21,P113_PBO,-3.2,-1.111,0.298,0.358,1,0,1,0,0,0
246.668,47.03,0,14,P046_PBO,0.433,-2.009,0.388,0.418,1,0,1,0,0,0
246.495,39.269,0,21,P082_PBO,-2.852,-0.505,0.388,0.388,1,0,1,0,0,0
246.132,42.879,0,21,P677_PBO,-2.522,-1.297,0.298,0.358,1,0,1,0,0,0
246.129,39.067,0,21,P081_PBO,-2.96,-0.297,0.328,0.328,1,0,1,0,0,0
246.021,44.109,0,21,P354_PBO,-1.277,-1.494,0.358,0.358,1,0,1,0,0,0
245.995,32.723,0,14,P003_PBO,-3.287,0.106,0.209,0.209,1,0,1,0,0,0
245.811,34.309,0,14,GNPS_PBO,-2.332,2.911,0.06,0.06,1,0,1,0,0,0
245.723,39.119,0,21,P080_PBO,-2.16,-0.287,0.477,0.508,1,0,1,0,0,0
245.401,34.189,0,14,P623_PBO,-3.637,0.42,0.119,0.119,1,0,1,0,0,0
245.173,33.051,0,14,GMPK_PBO,-3.478,2.626,0.089,0.06,1,0,1,0,0,0
244.968,32.706,0,14,IID2_PBO,-3.893,2.321,0.17,0.184,1,0,1,0,0,0
244.855,34.158,0,14,IMPS_PBO,-2.556,0.639,0.176,0.171,1,0,1,0,0,0
244.762,35.291,0,14,P626_PBO,-3.4,0.035,0.179,0.149,1,0,1,0,0,0
244.721,39.91,0,21,P005_PBO,-2.935,-1.064,0.447,0.478,1,0,1,0,0,0
244.706,32.891,0,14,P509_PBO,-1.585,3.137,0.179,0.179,1,0,1,0,0,0
244.704,33.887,0,14,P511_PBO,-4.55,0.637,0.119,0.119,1,0,1,0,0,0
244.7,32.69,0,14,P500_PBO,-6.392,8.937,0.149,0.149,1,0,1,0,0,0
244.657,33.144,0,14,P510_PBO,-3.976,1.538,0.179,0.179,1,0,1,0,0,0
244.634,35.163,0,14,P622_PBO,-3.605,0.038,0.179,0.149,1,0,1,0,0,0
244.602,32.876,0,14,P501_PBO,-4.686,6.439,0.119,0.119,1,0,1,0,0,0
244.578,32.982,0,14,P502_PBO,-4.682,3.94,0.149,0.179,1,0,1,0,0,0
244.571,33.248,0,14,P508_PBO,-4.873,1.94,0.119,0.119,1,0,1,0,0,0
244.512,32.98,0,14,P499_PBO,-6.783,5.041,0.179,0.209,1,0,1,0,0,0
244.493,32.829,0,24,IVCO_PBO,-14.864,20.255,0.187,0.159,1,0,1,0,0,0
244.49,33.081,0,14,P506_PBO,-6.579,4.042,0.239,0.239,1,0,1,0,0,0
244.487,39.536,0,21,P076_PBO,-2.349,-0.458,0.447,0.478,1,0,1,0,0,0
244.479,33.275,0,14,GLRS_PBO,-6.872,1.742,0.089,0.149,1,0,1,0,0,0
244.456,35.473,0,14,P621_PBO,-3.995,0.042,0.179,0.149,1,0,1,0,0,0
244.444,39.925,0,21,P102_PBO,-2.635,0.243,0.447,0.448,1,0,1,0,0,0
244.43,32.898,0,24,P498_PBO,-15.286,21.843,0.149,0.149,1,0,1,0,0,0
244.423,32.835,0,22,P497_PBO,-16.488,22.143,0.149,0.179,1,0,1,0,0,0
244.404,32.751,0,22,P496_PBO,-23.391,28.044,0.149,0.269,1,0,1,0,0,0
244.388,33.2,0,14,P507_PBO,-8.963,0.209,0.18,0.192,1,0,1,0,0,0
244.372,33.045,0,24,P495_PBO,-11.281,15.244,0.119,0.119,1,0,1,0,0,0
244.365,33.705,0,14,HNPS_PBO,-5.858,2.745,0.06,0.09,1,0,1,0,0,0
244.35,35.205,0,14,P611_PBO,-4.805,0.045,0.268,0.299,1,0,1,0,0,0
244.34,34.784,0,14,GMRC_PBO,-3.72,1.045,0.06,0.06,1,0,1,0,0,0
244.313,33.424,0,14,P505_PBO,-5.868,3.346,0.298,0.269,1,0,1,0,0,0
244.268,32.76,0,22,P494_PBO,-22.791,26.547,0.179,0.149,1,0,1,0,0,0
244.265,33.07,0,24,CRRS_PBO,-14.236,18.442,0.178,0.172,1,0,1,0,0,0
244.236,34.426,0,14,P610_PBO,-3.533,0.848,0.328,0.328,1,0,1,0,0,0
244.234,33.516,0,14,P504_PBO,-8.565,4.148,0.149,0.149,1,0,1,0,0,0
244.179,33.741,0,14,P607_PBO,-6.357,2.849,0.268,0.299,1,0,1,0,0,0
244.111,39.374,0,21,P075_PBO,0.643,-5.65,0.447,0.478,1,0,1,0,0,0
244.089,34.727,0,14,I40A_PBO,-4.023,1.551,0.119,0.149,1,0,1,0,0,0
244.082,34.37,0,37,OPBL_PBO,-2.935,2.651,0.089,0.06,1,0,1,0,0,0
244.022,33.292,0,24,SLMS_PBO,-13.573,16.453,0.06,0.06,1,0,1,0,0,0
244.002,34.001,0,14,BEMT_PBO,-5.948,5.653,0.089,0.06,1,0,1,0,0,0
243.95,39.546,0,21,P074_PBO,-2.751,-0.646,0.418,0.448,1,0,1,0,0,0
243.947,34.251,0,37,BMHL_PBO,-3.74,4.454,0.06,0.06,1,0,1,0,0,0
243.92,35.287,0,14,BKAP_PBO,-4.903,1.155,0.06,0.06,1,0,1,0,0,0
243.92,33.959,0,14,P601_PBO,-6.55,5.455,0.268,0.299,1,0,1,0,0,0
243.917,34.367,0,37,OPCP_PBO,-2.836,4.355,0.06,0.06,1,0,1,0,0,0
243.915,33.03,0,22,USGC_PBO,-23.913,24.402,0.17,0.171,1,0,1,0,0,0
243.896,35.142,0,14,P618_PBO,-4.709,0.155,0.149,0.179,1,0,1,0,0,0
243.852,34.509,0,37,NBPS_PBO,-3.431,3.256,0.06,0.09,1,0,1,0,0,0
243.851,34.43,0,37,OPCX_PBO,-2.934,4.156,0.089,0.06,1,0,1,0,0,0
243.83,32.617,0,23,P066_PBO,-27.898,26.957,0.089,0.09,1,0,1,0,0,0
243.791,34.699,0,37,LDSW_PBO,-6.025,2.158,0.089,0.149,1,0,1,0,0,0
243.788,33.866,0,14,P600_PBO,-9.654,9.558,0.089,0.119,1,0,1,0,0,0
243.773,33.575,0,24,P491_PBO,-15.164,14.858,0.119,0.119,1,0,1,0,0,0
243.721,34.255,0,35,SDHL_PBO,-5.921,5.183,0.211,0.188,1,0,1,0,0,0
243.721,40.363,0,21,P087_PBO,-2.523,0.659,0.447,0.478,1,0,1,0,0,0
243.708,34.533,0,37,OPRD_PBO,-6.431,5.86,0.06,0.06,1,0,1,0,0,0
243.701,35.971,0,21,SHOS_PBO,-4.48,1.16,0.06,0.06,1,0,1,0,0,0
243.695,34.428,0,36,OPCL_PBO,-5.735,7.86,0.06,0.09,1,0,1,0,0,0
243.678,33.26,0,22,P486_PBO,-23.476,22.06,0.089,0.09,1,0,1,0,0,0
243.664,34.829,0,37,CDMT_PBO,-7.321,2.961,0.06,0.06,1,0,1,0,0,0
243.651,32.976,0,22,P480_PBO,-27.186,25.261,0.089,0.09,1,0,1,0,0,0
243.63,34.124,0,14,CTMS_PBO,-7.045,11.662,0.06,0.06,1,0,1,0,0,0
243.591,33.21,0,22,P485_PBO,-26.278,24.363,0.358,0.358,1,0,1,0,0,0
243.576,39.501,0,21,P073_PBO,-2.954,0.763,0.418,0.448,1,0,1,0,0,0
243.574,33.523,0,24,P490_PBO,-18.172,17.873,0.181,0.185,1,0,1,0,0,0
243.571,34.594,0,36,AGMT_PBO,-8.129,7.763,0.06,0.06,1,0,1,0,0,0
243.57,34.755,0,37,HCMN_PBO,-8.623,4.463,0.06,0.06,1,0,1,0,0,0
243.567,34.267,0,25,LDES_PBO,-6.004,10.248,0.208,0.209,1,0,1,0,0,0
243.463,34.217,0,25,P599_PBO,-8.943,13.165,0.328,0.328,1,0,1,0,0,0
243.431,33.059,0,23,P483_PBO,-26.984,26.066,0.089,0.09,1,0,1,0,0,0
243.428,35.321,0,37,P617_PBO,-5.004,2.866,0.328,0.328,1,0,1,0,0,0
243.379,33.376,0,22,P484_PBO,-24.473,22.967,0.119,0.119,1,0,1,0,0,0
243.375,34.644,0,35,RDMT_PBO,-10.928,8.768,0.089,0.06,1,0,1,0,0,0
243.329,33.24,0,22,P482_PBO,-26.078,24.969,0.119,0.09,1,0,1,0,0,0
243.288,33.733,0,24,DSSC_PBO,-18.36,19.87,0.119,0.09,1,0,1,0,0,0
243.264,40.495,0,17,P085_PBO,-2.92,-0.63,0.447,0.448,1,0,1,0,0,0
243.259,39.521,0,21,P072_PBO,-3.655,0.47,0.119,0.119,1,0,1,0,0,0
243.237,35.205,0,36,P615_PBO,-6.509,5.371,0.328,0.328,1,0,1,0,0,0
243.217,33.493,0,22,P479_PBO,-23.769,22.971,0.239,0.149,1,0,1,0,0,0
243.185,34.675,0,28,ORMT_PBO,-11.528,10.872,0.06,0.06,1,0,1,0,0,0
243.12,34.462,0,28,P606_PBO,-12.235,11.773,0.149,0.149,1,0,1,0,0,0
243.116,34.264,0,25,BBRY_PBO,-12.942,14.774,0.089,0.09,1,0,1,0,0,0
243.068,34.669,0,28,WOMT_PBO,-11.928,11.875,0.06,0.06,1,0,1,0,0,0
243.06,35.09,0,36,LNMT_PBO,-7.614,9.275,0.06,0.06,1,0,1,0,0,0
243.05,32.734,0,23,P473_PBO,-29.096,27.375,0.089,0.09,1,0,1,0,0,0
243.048,33.893,0,24,P584_PBO,-17.756,19.475,0.089,0.09,1,0,1,0,0,0
242.988,34.919,0,35,BSRY_PBO,-10.02,11.076,0.06,0.06,1,0,1,0,0,0
242.951,39.542,0,17,TOIY_PBO,-3.955,1.277,0.089,0.06,1,0,1,0,0,0
