lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_up_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi,model_up_vel,model_up_vel_residual,model_up_vel_rotation,model_up_elastic_segment,model_up_vel_block_strain_rate,model_up_vel_mogi
243.5700,33.5840,0,24,PF1__GPS,-15.6180,19.4830,0.2860,0.2990,1,0,1,0,0,0,0.0000,-2361083.1128,-4750124.4774,3522208.8872,22,-16.9868,19.2610,-1.3688,-0.2220,-15.4254,18.1820,1.5701,-1.0757,-0.0088,-0.0032,-0.0112,0.0000,0.0000,0.0000,0.0000,-0.0106,-0.0106,0.0000,0.0218,0.0000,0.0000
243.5230,33.6030,0,24,PF5C_GPS,-16.3320,20.6050,0.3520,0.3430,1,0,1,0,0,0,0.0000,-2364457.9944,-4747140.3104,3523967.7535,22,-17.1255,19.6032,-0.7935,-1.0018,-15.3933,18.2583,1.7409,-1.3416,-0.0087,-0.0033,-0.0113,0.0000,0.0000,0.0000,0.0000,-0.0034,-0.0034,0.0000,0.0147,0.0000,0.0000
243.5410,33.6090,0,24,PINY_GPS,-16.1910,18.3640,0.2830,0.2750,1,0,1,0,0,0,0.0000,-2362802.0831,-4747552.4920,3524523.1044,22,-16.8451,19.3138,-0.6541,0.9498,-15.3774,18.2291,1.4765,-1.0815,-0.0088,-0.0033,-0.0113,0.0000,0.0000,0.0000,0.0000,-0.0128,-0.0128,0.0000,0.0240,0.0000,0.0000
243.5420,33.6120,0,24,PIN1_GLA,-16.3900,19.5340,0.2390,0.2450,1,0,1,0,0,0,0.0000,-2362636.9972,-4747428.5087,3524800.7654,22,-16.7845,19.2674,-0.3945,-0.2666,-15.3709,18.2275,1.4224,-1.0367,-0.0088,-0.0033,-0.0113,0.0000,0.0000,0.0000,0.0000,-0.0140,-0.0140,0.0000,0.0252,0.0000,0.0000
243.5380,33.6200,0,24,ASBS_GPS,-15.6980,18.5050,0.2800,0.2990,1,0,1,0,0,0,0.0000,-2362749.0951,-4746822.9157,3525541.1474,22,-16.6847,19.2243,-0.9867,0.7193,-15.3546,18.2339,1.3390,-0.9870,-0.0088,-0.0033,-0.0113,0.0000,0.0000,0.0000,0.0000,-0.0150,-0.0150,0.0000,0.0263,0.0000,0.0000
243.5620,33.5990,0,24,BNDY_GPS,-16.7640,21.0840,0.3490,0.3520,1,0,1,0,0,0,0.0000,-2361335.7002,-4748968.9243,3523597.4981,22,-16.8168,19.1788,-0.0528,-1.9052,-15.3950,18.1950,1.4306,-0.9805,-0.0088,-0.0032,-0.0112,0.0000,0.0000,0.0000,0.0000,-0.0147,-0.0147,0.0000,0.0260,0.0000,0.0000
243.5800,33.6090,0,24,T138_GPS,-16.4520,21.3630,0.4920,0.4750,1,0,1,0,0,0,0.0000,-2359569.9795,-4749159.7004,3524523.1044,22,-16.4932,18.8523,-0.0412,-2.5107,-15.3705,18.1658,1.1315,-0.6833,-0.0089,-0.0032,-0.0112,0.0000,0.0000,0.0000,0.0000,-0.0195,-0.0195,0.0000,0.0307,0.0000,0.0000
243.4100,33.6460,0,24,JOES_GPS,-17.3970,20.9990,0.2800,0.2840,1,0,1,0,0,0,0.0000,-2372631.3569,-4740101.5259,3527946.9143,22,-17.5682,20.4955,-0.1712,-0.5035,-15.3220,18.4415,2.2548,-2.0506,-0.0086,-0.0035,-0.0115,0.0000,0.0000,0.0000,0.0000,0.1473,0.1473,0.0000,-0.1358,0.0000,0.0000
243.5890,33.6230,0,24,L587_GPS,-18.0680,19.8630,0.4270,0.4210,1,0,1,0,0,0,0.0000,-2358440.8142,-4748758.8239,3525818.7730,22,-16.1933,18.6029,1.8747,-1.2601,-15.3392,18.1512,0.8630,-0.4485,-0.0090,-0.0032,-0.0112,0.0000,0.0000,0.0000,0.0000,-0.0289,-0.0289,0.0000,0.0401,0.0000,0.0000
243.5280,33.6840,0,24,WHAY_GPS,-14.9910,19.6650,0.2890,0.2900,1,0,1,0,0,0,0.0000,-2361820.6273,-4742882.3355,3531461.7281,22,-15.6682,18.6889,-0.6772,-0.9761,-15.2203,18.2502,0.4569,-0.4355,-0.0090,-0.0033,-0.0113,0.0000,0.0000,0.0000,0.0000,-0.0666,-0.0666,0.0000,0.0779,0.0000,0.0000
