name,lon1,lat1,lon2,lat2,dip,res,other3,other6,rake,rakeSig,rakeTog,other7,other8,other9,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,resolution_override,resolution_other,mesh_file_index,mesh_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max,ss_reg_flag,ds_reg_flag,ts_reg_flag,x1,y1,z1,x2,y2,z2,length,azimuth,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
Canyon River                                                       ,236.5264,47.3913,236.5324,47.3939,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2377568.2545,-3595712.4287,4686402.9689,-2377074.4210,-3595783.9813,4686598.5766,537.3558,57.4544,236.5294,47.3926,236.5294,47.3926,-2377321.3398,-3595748.2082,4686500.7769,-2377320.7189,-3595743.9228,7.5000,236.5294,47.3926,5,6,-1.9071,-0.2153,0.0000,0.8413,0.8101,0.0000
Canyon River                                                       ,236.5324,47.3939,236.5431,47.3978,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2377074.4210,-3595783.9813,4686598.5766,-2376226.9892,-3595961.6820,4686891.9701,916.7861,61.7699,236.5378,47.3958,236.5377,47.3959,-2376650.7111,-3595872.8409,4686745.2855,-2376649.8225,-3595868.6030,7.5000,236.5378,47.3958,5,6,-1.8939,-0.4807,0.0000,0.8526,0.7651,0.0000
Canyon River                                                       ,236.5431,47.3978,236.5623,47.3988,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2376226.9892,-3595961.6820,4686891.9701,-2374976.7619,-3596689.4985,4686967.1957,1453.6456,85.6065,236.5527,47.3983,236.5527,47.3983,-2375601.8908,-3596325.6134,4686929.6133,-2375599.7123,-3596321.8712,7.5000,236.5527,47.3983,5,6,-1.6381,-1.9373,0.0000,0.8448,0.7971,0.0000
Canyon River                                                       ,236.5623,47.3988,236.5807,47.4041,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2374976.7619,-3596689.4985,4686967.1957,-2373582.8002,-3597090.1262,4687365.8675,1508.7391,67.0041,236.5715,47.4014,236.5715,47.4015,-2374279.7975,-3596889.8374,4687166.5644,-2374278.6014,-3596885.6757,7.5000,236.5715,47.4014,5,7,-3.3687,-4.2398,0.0000,2.1580,2.8995,0.0000
Canyon River                                                       ,236.5807,47.4041,236.5840,47.4066,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2373582.8002,-3597090.1262,4687365.8675,-2373262.9818,-3597056.1096,4687553.9063,373.2231,41.8637,236.5824,47.4053,236.5823,47.4054,-2373422.8920,-3597073.1195,4687459.8889,-2373422.4340,-3597077.4253,7.5000,236.5824,47.4053,5,7,-3.9414,-0.9264,0.0000,2.0386,3.1996,0.0000
Canyon River - Price Lake (northeast)                              ,236.7008,47.4172,236.7138,47.4211,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2365449.1423,-3601161.7371,4688351.0918,-2364456.8551,-3601431.5694,4688644.3556,1072.5240,66.1493,236.7073,47.4192,236.7073,47.4192,-2364953.0069,-3601296.6659,4688497.7403,-2364951.8707,-3601292.4875,7.5000,236.7073,47.4191,5,7,-3.3385,-3.5627,0.0000,2.1311,2.5599,0.0000
Canyon River - Price Lake (northeast)                              ,236.7138,47.4211,236.7366,47.4276,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2364456.8551,-3601431.5694,4688644.3556,-2362731.7702,-3601927.4007,4689133.0802,1865.9244,67.2053,236.7252,47.4244,236.7252,47.4244,-2363594.3376,-3601679.5234,4688888.7681,-2363593.1414,-3601675.3618,7.5000,236.7252,47.4243,5,7,-3.3058,-3.6021,0.0000,2.1342,2.5031,0.0000
Canyon River - Price Lake (northeast)                              ,236.7366,47.4276,236.7628,47.4395,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2362731.7702,-3601927.4007,4689133.0802,-2360550.5925,-3602192.7845,4690027.6657,2378.4310,56.1926,236.7497,47.4335,236.7497,47.4336,-2361641.2218,-3602060.1549,4689580.4547,-2361640.6988,-3602055.8565,7.5000,236.7497,47.4335,5,7,-3.5845,-2.1536,0.0000,2.0750,2.6418,0.0000
Canyon River - Price Lake (northeast)                              ,236.7628,47.4395,236.7821,47.4446,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2360550.5925,-3602192.7845,4690027.6657,-2359108.3567,-3602638.4632,4690410.9976,1562.2601,68.7117,236.7724,47.4421,236.7724,47.4421,-2359829.4921,-3602415.6507,4690219.3669,-2359828.2136,-3602411.5136,7.5000,236.7725,47.4420,5,7,-3.2736,-3.5466,0.0000,2.1437,2.3609,0.0000
Canyon River - Price Lake (northeast)                              ,236.7821,47.4446,236.8222,47.4611,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2359108.3567,-3602638.4632,4690410.9976,-2355847.0992,-3603157.9783,4691650.9344,3536.9084,58.7426,236.8022,47.4528,236.8021,47.4529,-2357477.8173,-3602898.3586,4691031.1468,-2357477.1361,-3602894.0824,7.5000,236.8022,47.4528,5,7,-3.5279,-2.2161,0.0000,2.0909,2.4832,0.0000
